Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
2458,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,5195,4817
2458,7,7098,0,2,8224,44,8,10,0,103.04428571428575,1,0,2,0,0,2,8,0,0,0,0,3184
2237,21,6547,4007,2,2395,14,2,0,0,35.60500000000002,1,0,1,1,0,1,3,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,4,0,2,1,0,1,7,0,0,0,0,0
2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2237,1,9976,4854,3,8088,1021,43,32,0,-63.319999999999965,4,3,2,2,3,2,7,0,0,0,0,0
2237,26,4395,2052,3,7670,683,21,0,0,16.32000000000002,33,2,9,3,1,2,2,0,0,0,0,0
2237,7,5161,0,2,7984,44,5,0,0,12.425000000000011,1,0,2,0,0,2,8,0,0,0,0,0
2237,1,0,7034,1,7930,563,18,0,0,19.36500000000001,26,8,1,0,5,1,3,0,0,0,0,0
2237,1,0,5233,1,0,0,0,0,0,0,1,4,7,0,1,5,4,0,0,0,0,0
2237,1,0,0,1,4631,7,2,3,0,120.20500000000001,1,1,2,2,1,2,8,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,5,0,0,0,0,0
2237,6,0,0,1,4631,7,2,3,0,120.20500000000001,1,0,0,0,0,0,9,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,5,0,0,0,0,0
2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,5,0,0,0,0,0
2237,1,0,6160,1,2050,926,34,31,0,-73.70356521739126,1,1,30,18,1,2,4,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,5,0,0,0,0,0
2237,1,0,5075,2,2050,926,34,31,0,-73.70356521739126,1,1,0,0,1,0,5,0,0,0,0,0
2237,4,0,4549,4,0,0,0,0,0,0,1,1,7,1,1,4,4,1,0,0,0,0
2237,4,0,0,2,2050,926,34,31,0,-73.70356521739126,1,3,0,0,2,0,6,1,0,0,0,0
2237,99,0,8169,1,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
2237,1,0,7852,1,0,0,0,0,0,0,4,1,2,0,1,2,7,0,0,0,0,0
2237,5,0,8292,3,0,0,0,0,0,0,1,0,7,2,0,4,4,0,0,1,6343,0
2237,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,3553,0
2237,99,0,0,0,0,0,0,0,0,0,1,0,7,3,0,5,4,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,4,0,2,1,0,1,7,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,1,0,7,4,0,5,4,0,0,0,0,0
2237,1,5525,4854,3,2050,926,34,31,0,-73.70356521739126,4,4,2,2,3,2,7,0,0,0,0,0
2237,3,0,3361,1,0,0,0,0,0,0,1,0,7,5,0,4,4,0,0,0,0,0
2237,7,8415,0,2,3519,16,3,0,0,34.59000000000003,1,0,3,0,0,2,8,0,0,0,0,0
2237,99,0,0,0,0,0,0,0,0,0,1,0,7,6,0,5,4,0,0,0,0,0
2237,1,5172,0,2,0,0,0,0,0,0,1,0,3,1,0,3,8,0,0,0,0,0
2237,1,0,4500,1,7930,563,18,0,0,19.36500000000001,1,11,7,7,3,5,4,0,0,0,0,0
2237,9,1277,0,1,8196,12,2,0,0,35.60500000000002,1,1,10,0,1,2,5,0,0,0,0,0
2237,1,0,0,1,9346,6,2,2,0,120.20500000000001,1,1,3,3,1,3,8,0,0,0,0,0
2237,4,0,705,3,8196,12,2,0,0,35.60500000000002,9,2,0,0,2,0,6,1,0,0,0,0
2237,6,0,0,1,9346,6,2,2,0,120.20500000000001,1,0,0,0,0,0,9,0,0,0,0,0
2237,99,4730,6692,2,0,0,0,0,0,0,4,0,1,0,0,1,7,0,0,0,0,0
2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2237,99,0,0,0,8196,12,2,0,0,35.60500000000002,4,0,1,1,0,1,7,0,0,0,0,0
2237,1,0,6160,1,6397,951,44,31,0,-49.21999999999997,1,1,30,20,1,2,4,0,0,0,0,0
2237,8,0,0,0,5797,12,1,0,0,-132.57999999999996,1,1,10,1,1,3,5,0,0,0,0,0
2237,1,0,5075,2,6397,951,44,31,0,-49.21999999999997,1,1,0,0,1,0,5,0,0,0,0,0
2237,4,0,5565,3,5797,12,1,0,0,-132.57999999999996,8,1,0,0,1,0,6,1,0,0,0,0
2237,4,0,0,2,6397,951,44,31,0,-49.21999999999997,1,3,0,0,2,0,6,1,0,0,0,0
