Category,tag,parent_tag,gparent_tag,num_children,num_siblings,dom_depth,sibling_tag_ratio,sibling_link_ratio,sibling_image_count,has_nav_ancestor,has_footer_ancestor,has_header_ancestor,text_len,text_word_count,text_digit_count,text_density,digit_density,capitalization_ratio,avg_word_length,has_currency_symbol,is_price_format,has_sold_keyword,has_review_keyword,has_cta_keyword,is_header,is_formatting,is_block_element,is_list_item,font_size,font_weight,visual_weight,tag_importance,is_bold,is_italic,is_hidden,is_strikethrough,is_image,has_src,has_alt,alt_len,img_width,img_height,img_area_raw,image_area,is_clickable,has_href,link_density,parent_is_link,class_str,id_str,avg_distance_to_closest_categories,img_size_rank,visibility_score_local,visibility_score_global,text_len_score_local,tag_count_global,xpath,max_sibling_density,SourceURL
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,11,2,0,0.2037037037037037,0.0,0.09090909090909091,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.20533333333333334,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[1]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,85,12,6,0.6910569105691057,0.07058823529411765,0.058823529411764705,6.166666666666667,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,1.797583081570997,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[2]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,11,2,0,0.2037037037037037,0.0,0.09090909090909091,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.2026315789473684,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[2]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,35,5,4,0.4794520547945205,0.11428571428571428,0.08571428571428572,6.2,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.7122093023255813,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[3]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,17,3,0,0.288135593220339,0.0,0.058823529411764705,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.32602739726027397,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[3]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,126,21,13,0.7682926829268293,0.10317460317460317,0.03968253968253968,5.0476190476190474,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,2.97972972972973,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[4]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,59,8,0,0.5841584158415841,0.0,0.0,6.5,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,1.081151832460733,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[4]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,32,6,7,0.463768115942029,0.21875,0.0625,4.5,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.6086956521739131,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[1]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,16,3,0,0.27586206896551724,0.0,0.0625,4.666666666666667,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.24944320712694878,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[1]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,97,18,11,0.7132352941176471,0.1134020618556701,0.061855670103092786,4.444444444444445,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,2.032934131736527,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[2]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
